FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,LEAN
568,568,232,193,12,10,2,1,0
568,575,231,193,13,10,5,1,0
568,572,232,194,12,10,6,0,0
570,574,234,193,12,10,4,1,0
569,572,232,193,12,10,6,0,0
570,574,233,194,12,10,4,1,0
572,568,234,193,12,10,5,0,0
571,574,233,194,13,11,7,0,0
571,574,233,195,13,10,7,1,0
573,576,234,195,12,10,6,0,0
573,576,234,195,12,10,7,1,0
574,576,235,193,12,10,5,0,0
573,576,234,193,12,10,6,0,0
573,578,233,195,12,10,6,0,0
574,579,235,192,12,10,5,0,0
576,579,233,193,12,9,6,0,0
576,579,233,194,12,10,6,0,0
578,580,234,193,12,10,6,1,0
579,581,234,194,12,10,6,0,0
581,581,234,196,12,10,6,0,0
582,582,234,195,13,10,6,0,0
584,582,235,195,12,10,6,0,0
584,582,234,193,12,10,7,0,0
587,582,233,192,12,10,7,0,0
607,579,177,140,12,10,7,2,0
607,533,142,127,0,2,10,8,0
560,537,171,135,20,8,9,4,0
566,540,184,140,20,8,10,4,0
571,543,190,143,21,9,9,3,0
570,550,187,149,20,8,3,1,0
574,551,193,150,21,9,6,0,0
574,550,195,153,21,8,9,0,0
576,552,196,154,24,9,6,0,0
576,554,198,156,24,9,9,0,0
577,555,200,157,21,9,8,0,0
578,557,200,158,23,8,8,0,0
578,556,202,161,20,9,7,0,0
579,560,205,162,20,9,6,0,0
579,559,206,162,24,9,7,0,0
580,560,207,165,25,9,6,0,0
580,562,208,165,25,9,6,0,0
581,564,208,166,27,9,6,0,0
581,562,208,167,26,9,6,0,0
580,565,203,164,28,8,0,0,0
581,569,198,163,16,9,4,3,0
582,557,202,161,14,10,8,0,0
603,545,224,156,15,5,53,0,0
584,553,197,156,16,7,25,0,0
583,554,215,163,17,8,10,0,0
561,550,195,160,22,6,2,0,0
568,555,201,161,28,8,0,0,0
572,554,205,162,30,8,0,0,0
574,554,207,164,31,8,0,0,0
577,555,208,167,27,7,4,0,0
574,551,209,169,35,7,0,0,0
578,550,209,158,36,8,0,0,0
577,556,203,151,35,7,0,0,0
577,556,211,152,38,8,3,0,0
567,557,216,152,39,8,5,0,0
532,559,217,159,43,8,4,0,0
579,562,212,162,40,8,7,0,0
571,562,205,162,38,8,9,0,0
567,563,201,169,40,8,7,0,0
567,563,203,173,47,7,0,0,0
538,563,208,168,40,7,3,0,0
